tool,nl_prompt,cli_command_demo,simulated_output,safety_note
nmap,Run a UDP top-50 port scan on 10.0.0.27 (lab only).,nmap -sU --top-ports 50 10.0.0.27,UDP scan done. Few open/filtered ports detected (redacted).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Scan 10.0.0.28 with default scripts (safe NSE).,nmap -sC 10.0.0.28,Default scripts executed (safe). No critical findings.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Validate that host29.lab.example is reachable with a simple ping sweep.,nmap -sn 10.0.29.0/24,Sweep done. Reachability confirmed for a subset (sanitized).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Run a quick TCP scan on the top 100 ports for 10.0.0.30.,nmap --top-ports 100 10.0.0.30,"Scan complete. Open ports: 22/tcp, 80/tcp, 443/tcp. Host up.",Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Identify open ports and services on 10.0.0.31 with version detection.,nmap -sV 10.0.0.31,Host up. Service versions identified (sanitized). No vulnerabilities reported.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Do a ping scan against the subnet 10.0.32.0/24 to find live hosts.,nmap -sn 10.0.32.0/24,Ping sweep finished. Live hosts found: 5 (redacted).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Perform an OS guess for the target 10.0.0.33 (aggressive timing).,nmap -A -T4 10.0.0.33,OS fingerprint (approximate): Linux-like (confidence ~85%).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,"Scan only ports 22,80,443 on 10.0.0.34 and finish fast.","nmap -p 22,80,443 10.0.0.34 -T4",Specified ports scanned. 22 open; 80 open; 443 open. Others filtered.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Generate a normal output report for 10.0.0.35 and save to /lab/demo_35.out.,nmap -oN /lab/demo_35.out 10.0.0.35,Report written to /lab/demo_35.out (sanitized).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Check for host discovery only on 10.0.36.0/24 without port scanning.,nmap -sn 10.0.36.0/24 --disable-arp-ping,Host discovery only: 2 responsive on 10.0.36.0/24 (lab demo).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Run a UDP top-50 port scan on 10.0.0.37 (lab only).,nmap -sU --top-ports 50 10.0.0.37,UDP scan done. Few open/filtered ports detected (redacted).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Scan 10.0.0.38 with default scripts (safe NSE).,nmap -sC 10.0.0.38,Default scripts executed (safe). No critical findings.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Validate that host39.lab.example is reachable with a simple ping sweep.,nmap -sn 10.0.39.0/24,Sweep done. Reachability confirmed for a subset (sanitized).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Run a quick TCP scan on the top 100 ports for 10.0.0.40.,nmap --top-ports 100 10.0.0.40,"Scan complete. Open ports: 22/tcp, 80/tcp, 443/tcp. Host up.",Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Identify open ports and services on 10.0.0.41 with version detection.,nmap -sV 10.0.0.41,Host up. Service versions identified (sanitized). No vulnerabilities reported.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Do a ping scan against the subnet 10.0.42.0/24 to find live hosts.,nmap -sn 10.0.42.0/24,Ping sweep finished. Live hosts found: 1 (redacted).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Perform an OS guess for the target 10.0.0.43 (aggressive timing).,nmap -A -T4 10.0.0.43,OS fingerprint (approximate): Linux-like (confidence ~85%).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,"Scan only ports 22,80,443 on 10.0.0.44 and finish fast.","nmap -p 22,80,443 10.0.0.44 -T4",Specified ports scanned. 22 open; 80 open; 443 open. Others filtered.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Generate a normal output report for 10.0.0.45 and save to /lab/demo_45.out.,nmap -oN /lab/demo_45.out 10.0.0.45,Report written to /lab/demo_45.out (sanitized).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Check for host discovery only on 10.0.46.0/24 without port scanning.,nmap -sn 10.0.46.0/24 --disable-arp-ping,Host discovery only: 5 responsive on 10.0.46.0/24 (lab demo).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Run a UDP top-50 port scan on 10.0.0.47 (lab only).,nmap -sU --top-ports 50 10.0.0.47,UDP scan done. Few open/filtered ports detected (redacted).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Scan 10.0.0.48 with default scripts (safe NSE).,nmap -sC 10.0.0.48,Default scripts executed (safe). No critical findings.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Validate that host49.lab.example is reachable with a simple ping sweep.,nmap -sn 10.0.49.0/24,Sweep done. Reachability confirmed for a subset (sanitized).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Run a quick TCP scan on the top 100 ports for 10.0.0.50.,nmap --top-ports 100 10.0.0.50,"Scan complete. Open ports: 22/tcp, 80/tcp, 443/tcp. Host up.",Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Identify open ports and services on 10.0.0.51 with version detection.,nmap -sV 10.0.0.51,Host up. Service versions identified (sanitized). No vulnerabilities reported.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Do a ping scan against the subnet 10.0.52.0/24 to find live hosts.,nmap -sn 10.0.52.0/24,Ping sweep finished. Live hosts found: 4 (redacted).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Perform an OS guess for the target 10.0.0.53 (aggressive timing).,nmap -A -T4 10.0.0.53,OS fingerprint (approximate): Linux-like (confidence ~85%).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,"Scan only ports 22,80,443 on 10.0.0.54 and finish fast.","nmap -p 22,80,443 10.0.0.54 -T4",Specified ports scanned. 22 open; 80 open; 443 open. Others filtered.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Generate a normal output report for 10.0.0.55 and save to /lab/demo_55.out.,nmap -oN /lab/demo_55.out 10.0.0.55,Report written to /lab/demo_55.out (sanitized).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Check for host discovery only on 10.0.56.0/24 without port scanning.,nmap -sn 10.0.56.0/24 --disable-arp-ping,Host discovery only: 1 responsive on 10.0.56.0/24 (lab demo).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Run a UDP top-50 port scan on 10.0.0.57 (lab only).,nmap -sU --top-ports 50 10.0.0.57,UDP scan done. Few open/filtered ports detected (redacted).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Scan 10.0.0.58 with default scripts (safe NSE).,nmap -sC 10.0.0.58,Default scripts executed (safe). No critical findings.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Validate that host59.lab.example is reachable with a simple ping sweep.,nmap -sn 10.0.59.0/24,Sweep done. Reachability confirmed for a subset (sanitized).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Run a quick TCP scan on the top 100 ports for 10.0.0.60.,nmap --top-ports 100 10.0.0.60,"Scan complete. Open ports: 22/tcp, 80/tcp, 443/tcp. Host up.",Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Identify open ports and services on 10.0.0.61 with version detection.,nmap -sV 10.0.0.61,Host up. Service versions identified (sanitized). No vulnerabilities reported.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Do a ping scan against the subnet 10.0.62.0/24 to find live hosts.,nmap -sn 10.0.62.0/24,Ping sweep finished. Live hosts found: 7 (redacted).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Perform an OS guess for the target 10.0.0.63 (aggressive timing).,nmap -A -T4 10.0.0.63,OS fingerprint (approximate): Linux-like (confidence ~85%).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,"Scan only ports 22,80,443 on 10.0.0.64 and finish fast.","nmap -p 22,80,443 10.0.0.64 -T4",Specified ports scanned. 22 open; 80 open; 443 open. Others filtered.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Generate a normal output report for 10.0.0.65 and save to /lab/demo_65.out.,nmap -oN /lab/demo_65.out 10.0.0.65,Report written to /lab/demo_65.out (sanitized).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Check for host discovery only on 10.0.66.0/24 without port scanning.,nmap -sn 10.0.66.0/24 --disable-arp-ping,Host discovery only: 4 responsive on 10.0.66.0/24 (lab demo).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Run a UDP top-50 port scan on 10.0.0.67 (lab only).,nmap -sU --top-ports 50 10.0.0.67,UDP scan done. Few open/filtered ports detected (redacted).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Scan 10.0.0.68 with default scripts (safe NSE).,nmap -sC 10.0.0.68,Default scripts executed (safe). No critical findings.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Validate that host69.lab.example is reachable with a simple ping sweep.,nmap -sn 10.0.69.0/24,Sweep done. Reachability confirmed for a subset (sanitized).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Run a quick TCP scan on the top 100 ports for 10.0.0.70.,nmap --top-ports 100 10.0.0.70,"Scan complete. Open ports: 22/tcp, 80/tcp, 443/tcp. Host up.",Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Identify open ports and services on 10.0.0.71 with version detection.,nmap -sV 10.0.0.71,Host up. Service versions identified (sanitized). No vulnerabilities reported.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Do a ping scan against the subnet 10.0.72.0/24 to find live hosts.,nmap -sn 10.0.72.0/24,Ping sweep finished. Live hosts found: 3 (redacted).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Perform an OS guess for the target 10.0.0.73 (aggressive timing).,nmap -A -T4 10.0.0.73,OS fingerprint (approximate): Linux-like (confidence ~85%).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,"Scan only ports 22,80,443 on 10.0.0.74 and finish fast.","nmap -p 22,80,443 10.0.0.74 -T4",Specified ports scanned. 22 open; 80 open; 443 open. Others filtered.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Generate a normal output report for 10.0.0.75 and save to /lab/demo_75.out.,nmap -oN /lab/demo_75.out 10.0.0.75,Report written to /lab/demo_75.out (sanitized).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Check for host discovery only on 10.0.76.0/24 without port scanning.,nmap -sn 10.0.76.0/24 --disable-arp-ping,Host discovery only: 7 responsive on 10.0.76.0/24 (lab demo).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Run a UDP top-50 port scan on 10.0.0.77 (lab only).,nmap -sU --top-ports 50 10.0.0.77,UDP scan done. Few open/filtered ports detected (redacted).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Scan 10.0.0.78 with default scripts (safe NSE).,nmap -sC 10.0.0.78,Default scripts executed (safe). No critical findings.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Validate that host79.lab.example is reachable with a simple ping sweep.,nmap -sn 10.0.79.0/24,Sweep done. Reachability confirmed for a subset (sanitized).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Run a quick TCP scan on the top 100 ports for 10.0.0.80.,nmap --top-ports 100 10.0.0.80,"Scan complete. Open ports: 22/tcp, 80/tcp, 443/tcp. Host up.",Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Identify open ports and services on 10.0.0.81 with version detection.,nmap -sV 10.0.0.81,Host up. Service versions identified (sanitized). No vulnerabilities reported.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Do a ping scan against the subnet 10.0.82.0/24 to find live hosts.,nmap -sn 10.0.82.0/24,Ping sweep finished. Live hosts found: 6 (redacted).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Perform an OS guess for the target 10.0.0.83 (aggressive timing).,nmap -A -T4 10.0.0.83,OS fingerprint (approximate): Linux-like (confidence ~85%).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,"Scan only ports 22,80,443 on 10.0.0.84 and finish fast.","nmap -p 22,80,443 10.0.0.84 -T4",Specified ports scanned. 22 open; 80 open; 443 open. Others filtered.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Generate a normal output report for 10.0.0.85 and save to /lab/demo_85.out.,nmap -oN /lab/demo_85.out 10.0.0.85,Report written to /lab/demo_85.out (sanitized).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Check for host discovery only on 10.0.86.0/24 without port scanning.,nmap -sn 10.0.86.0/24 --disable-arp-ping,Host discovery only: 3 responsive on 10.0.86.0/24 (lab demo).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Run a UDP top-50 port scan on 10.0.0.87 (lab only).,nmap -sU --top-ports 50 10.0.0.87,UDP scan done. Few open/filtered ports detected (redacted).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Scan 10.0.0.88 with default scripts (safe NSE).,nmap -sC 10.0.0.88,Default scripts executed (safe). No critical findings.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Validate that host89.lab.example is reachable with a simple ping sweep.,nmap -sn 10.0.89.0/24,Sweep done. Reachability confirmed for a subset (sanitized).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Run a quick TCP scan on the top 100 ports for 10.0.0.90.,nmap --top-ports 100 10.0.0.90,"Scan complete. Open ports: 22/tcp, 80/tcp, 443/tcp. Host up.",Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Identify open ports and services on 10.0.0.91 with version detection.,nmap -sV 10.0.0.91,Host up. Service versions identified (sanitized). No vulnerabilities reported.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Do a ping scan against the subnet 10.0.92.0/24 to find live hosts.,nmap -sn 10.0.92.0/24,Ping sweep finished. Live hosts found: 2 (redacted).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Perform an OS guess for the target 10.0.0.93 (aggressive timing).,nmap -A -T4 10.0.0.93,OS fingerprint (approximate): Linux-like (confidence ~85%).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,"Scan only ports 22,80,443 on 10.0.0.94 and finish fast.","nmap -p 22,80,443 10.0.0.94 -T4",Specified ports scanned. 22 open; 80 open; 443 open. Others filtered.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Generate a normal output report for 10.0.0.95 and save to /lab/demo_95.out.,nmap -oN /lab/demo_95.out 10.0.0.95,Report written to /lab/demo_95.out (sanitized).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Check for host discovery only on 10.0.96.0/24 without port scanning.,nmap -sn 10.0.96.0/24 --disable-arp-ping,Host discovery only: 6 responsive on 10.0.96.0/24 (lab demo).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Run a UDP top-50 port scan on 10.0.0.97 (lab only).,nmap -sU --top-ports 50 10.0.0.97,UDP scan done. Few open/filtered ports detected (redacted).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Scan 10.0.0.98 with default scripts (safe NSE).,nmap -sC 10.0.0.98,Default scripts executed (safe). No critical findings.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Validate that host99.lab.example is reachable with a simple ping sweep.,nmap -sn 10.0.99.0/24,Sweep done. Reachability confirmed for a subset (sanitized).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Run a quick TCP scan on the top 100 ports for 10.0.0.100.,nmap --top-ports 100 10.0.0.100,"Scan complete. Open ports: 22/tcp, 80/tcp, 443/tcp. Host up.",Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Identify open ports and services on 10.0.0.101 with version detection.,nmap -sV 10.0.0.101,Host up. Service versions identified (sanitized). No vulnerabilities reported.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Do a ping scan against the subnet 10.0.102.0/24 to find live hosts.,nmap -sn 10.0.102.0/24,Ping sweep finished. Live hosts found: 5 (redacted).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Perform an OS guess for the target 10.0.0.103 (aggressive timing).,nmap -A -T4 10.0.0.103,OS fingerprint (approximate): Linux-like (confidence ~85%).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,"Scan only ports 22,80,443 on 10.0.0.104 and finish fast.","nmap -p 22,80,443 10.0.0.104 -T4",Specified ports scanned. 22 open; 80 open; 443 open. Others filtered.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Generate a normal output report for 10.0.0.105 and save to /lab/demo_105.out.,nmap -oN /lab/demo_105.out 10.0.0.105,Report written to /lab/demo_105.out (sanitized).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Check for host discovery only on 10.0.106.0/24 without port scanning.,nmap -sn 10.0.106.0/24 --disable-arp-ping,Host discovery only: 2 responsive on 10.0.106.0/24 (lab demo).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Run a UDP top-50 port scan on 10.0.0.107 (lab only).,nmap -sU --top-ports 50 10.0.0.107,UDP scan done. Few open/filtered ports detected (redacted).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Scan 10.0.0.108 with default scripts (safe NSE).,nmap -sC 10.0.0.108,Default scripts executed (safe). No critical findings.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Validate that host109.lab.example is reachable with a simple ping sweep.,nmap -sn 10.0.109.0/24,Sweep done. Reachability confirmed for a subset (sanitized).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Run a quick TCP scan on the top 100 ports for 10.0.0.110.,nmap --top-ports 100 10.0.0.110,"Scan complete. Open ports: 22/tcp, 80/tcp, 443/tcp. Host up.",Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Identify open ports and services on 10.0.0.111 with version detection.,nmap -sV 10.0.0.111,Host up. Service versions identified (sanitized). No vulnerabilities reported.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Do a ping scan against the subnet 10.0.112.0/24 to find live hosts.,nmap -sn 10.0.112.0/24,Ping sweep finished. Live hosts found: 1 (redacted).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Perform an OS guess for the target 10.0.0.113 (aggressive timing).,nmap -A -T4 10.0.0.113,OS fingerprint (approximate): Linux-like (confidence ~85%).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,"Scan only ports 22,80,443 on 10.0.0.114 and finish fast.","nmap -p 22,80,443 10.0.0.114 -T4",Specified ports scanned. 22 open; 80 open; 443 open. Others filtered.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Generate a normal output report for 10.0.0.115 and save to /lab/demo_115.out.,nmap -oN /lab/demo_115.out 10.0.0.115,Report written to /lab/demo_115.out (sanitized).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Check for host discovery only on 10.0.116.0/24 without port scanning.,nmap -sn 10.0.116.0/24 --disable-arp-ping,Host discovery only: 5 responsive on 10.0.116.0/24 (lab demo).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Run a UDP top-50 port scan on 10.0.0.117 (lab only).,nmap -sU --top-ports 50 10.0.0.117,UDP scan done. Few open/filtered ports detected (redacted).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Scan 10.0.0.118 with default scripts (safe NSE).,nmap -sC 10.0.0.118,Default scripts executed (safe). No critical findings.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Validate that host119.lab.example is reachable with a simple ping sweep.,nmap -sn 10.0.119.0/24,Sweep done. Reachability confirmed for a subset (sanitized).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Run a quick TCP scan on the top 100 ports for 10.0.0.120.,nmap --top-ports 100 10.0.0.120,"Scan complete. Open ports: 22/tcp, 80/tcp, 443/tcp. Host up.",Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Identify open ports and services on 10.0.0.121 with version detection.,nmap -sV 10.0.0.121,Host up. Service versions identified (sanitized). No vulnerabilities reported.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Do a ping scan against the subnet 10.0.122.0/24 to find live hosts.,nmap -sn 10.0.122.0/24,Ping sweep finished. Live hosts found: 4 (redacted).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Perform an OS guess for the target 10.0.0.123 (aggressive timing).,nmap -A -T4 10.0.0.123,OS fingerprint (approximate): Linux-like (confidence ~85%).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,"Scan only ports 22,80,443 on 10.0.0.124 and finish fast.","nmap -p 22,80,443 10.0.0.124 -T4",Specified ports scanned. 22 open; 80 open; 443 open. Others filtered.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Generate a normal output report for 10.0.0.125 and save to /lab/demo_125.out.,nmap -oN /lab/demo_125.out 10.0.0.125,Report written to /lab/demo_125.out (sanitized).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Check for host discovery only on 10.0.126.0/24 without port scanning.,nmap -sn 10.0.126.0/24 --disable-arp-ping,Host discovery only: 1 responsive on 10.0.126.0/24 (lab demo).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Run a UDP top-50 port scan on 10.0.0.127 (lab only).,nmap -sU --top-ports 50 10.0.0.127,UDP scan done. Few open/filtered ports detected (redacted).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Scan 10.0.0.128 with default scripts (safe NSE).,nmap -sC 10.0.0.128,Default scripts executed (safe). No critical findings.,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Validate that host129.lab.example is reachable with a simple ping sweep.,nmap -sn 10.0.129.0/24,Sweep done. Reachability confirmed for a subset (sanitized).,Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Run a quick TCP scan on the top 100 ports for 10.0.0.130.,nmap --top-ports 100 10.0.0.130,"Scan complete. Open ports: 22/tcp, 80/tcp, 443/tcp. Host up.",Demo-only. Authorized environments/labs only. No unauthorized use.
nmap,Identify open ports and services on 10.0.0.131 with version detection.,nmap -sV 10.0.0.131,Host up. Service versions identified (sanitized). No vulnerabilities reported.,Demo-only. Authorized environments/labs only. No unauthorized use.
